"","Herd","V_stat","p_value","Significant"
"EINPP","EINPP",685,0.20427,"No"
"WAB","WAB",771,0.01198,"Yes"
"WENT","WENT",230,0.78622,"No"
"NORD","NORD",597,0.37254,"No"
"RL","RL",638,0.44021,"No"
"HZ","HZ",856,0.0016,"Yes"
"WBNPGR","WBNPGR",527,0.7019,"No"
"EINPW","EINPW",543,0.82984,"No"
"ETH","ETH",417,0.259,"No"
"WBNPPAD","WBNPPAD",575,0.91236,"No"
"MBS","MBS",691,0.1824,"No"
"WBNPLB","WBNPLB",470,0.3256,"No"
"WBNPNY","WBNPNY",640,0.42782,"No"
"WBNPHC","WBNPHC",702,0.14682,"No"
"WBNPC2","WBNPC2",547,0.86268,"No"
"WBNPC1","WBNPC1",651,0.36334,"No"
