"","ll","hl"
"EINPP",-0.0076,0.0312
"WAB",-0.0737,0.083
"WENT",-0.0476,0.1527
"NORD",-0.0692,0.0597
"RL",-0.0538,0.062
"HZ",-0.0462,0.0281
"WBNPGR",-0.0539,0.0415
"EINPW",-0.0025,0.0378
"ETH",-0.0601,0.0372
"WBNPPAD",-0.0303,0.0353
"MBS",-0.0146,0.0208
"WBNPLB",-0.0283,0.09
"WBNPNY",-0.05,0.0313
"WBNPHC",0.0043,0.0766
"WBNPC2",-0.0155,0.0372
"WBNPC1",-0.0206,0.0486
"EINPP1",-0.0329,0.0438
"NAH",-0.0347,0.135
"WAB1",-0.119,0.0201
"WENT1",-0.1461,0.0925
"NORD1",-0.0578,0.0532
"RL1",-0.0708,0.0058
"HZ1",-0.0332,0.0674
"WBNPGR1",-0.0107,0.0546
"EINPW1",-0.0569,0.0369
"ETH1",-0.0457,0.0196
"WBNPPAD1",0.0117,0.0652
"MBS1",-0.0432,0.0489
"WBNPLB1",-0.0425,0.0248
"WBNPNY1",-0.0617,0.0376
"AISH",-0.0275,0.0267
"WBNPHC1",0.0103,0.0542
"CL",-0.0784,-3e-04
"WBNPC21",0.0101,0.0544
"WBNPC11",-0.0364,0.0209
