"","Herd","V_stat","p_value","Significant"
"EINPP","EINPP",613.5,0.42828,"No"
"WAB","WAB",775,0.01057,"Yes"
"WENT","WENT",378.5,0.6767,"No"
"NORD","NORD",564,0.6036,"No"
"RL","RL",605.5,0.66436,"No"
"HZ","HZ",751,0.02177,"Yes"
"WBNPGR","WBNPGR",586.5,0.81591,"No"
"EINPW","EINPW",547.5,0.86554,"No"
"ETH","ETH",534.5,0.85225,"No"
"WBNPPAD","WBNPPAD",571,0.74309,"No"
"MBS","MBS",673,0.25089,"No"
"WBNPLB","WBNPLB",617,0.57849,"No"
"WBNPNY","WBNPNY",614.5,0.42195,"No"
"WBNPHC","WBNPHC",674,0.24655,"No"
"WBNPC2","WBNPC2",587,0.61525,"No"
"WBNPC1","WBNPC1",676.5,0.23592,"No"
