"","Herd","V_stat","p_value","Significant"
"EINPP","EINPP",572,0.93674,"No"
"WAB","WAB",516.5,0.79731,"No"
"WENT","WENT",477,0.83775,"No"
"NORD","NORD",505,0.89224,"No"
"RL","RL",542.5,0.82413,"No"
"HZ","HZ",619.5,0.14785,"No"
"WBNPGR","WBNPGR",587.5,0.80768,"No"
"EINPW","EINPW",476.5,0.35721,"No"
"ETH","ETH",533.5,0.8611,"No"
"WBNPPAD","WBNPPAD",729,0.08171,"No"
"MBS","MBS",574.5,0.91572,"No"
"WBNPLB","WBNPLB",472,0.33288,"No"
"WBNPNY","WBNPNY",546,0.75185,"No"
"WBNPHC","WBNPHC",619.5,0.56054,"No"
"WBNPC2","WBNPC2",593,0.39723,"No"
"WBNPC1","WBNPC1",531.5,0.73488,"No"
