"Population","Period","N","HE","HO","AR","FIS"
"AISH","T2",63,"0.54 ± 0.18","0.54 ± 0.19","2.95 ± 0.77",0
"CL","T2",30,"0.48 ± 0.21","0.51 ± 0.23","2.65 ± 0.8",-0.07
"EINPW","T1",79,"0.56 ± 0.17","0.55 ± 0.17","3.06 ± 0.7",0.01
"EINPW","T2",21,"0.56 ± 0.16","0.57 ± 0.18","3.06 ± 0.71",-0.02
"ETH","T1",12,"0.55 ± 0.2","0.56 ± 0.23","2.88 ± 0.79",-0.01
"ETH","T2",32,"0.55 ± 0.19","0.56 ± 0.2","2.96 ± 0.78",-0.01
"HZ","T1",33,"0.56 ± 0.16","0.57 ± 0.18","3.03 ± 0.7",0
"HZ","T2",23,"0.54 ± 0.16","0.53 ± 0.18","2.86 ± 0.69",0.01
"MBS","T1",81,"0.6 ± 0.15","0.6 ± 0.15","3.2 ± 0.74",0
"MBS","T2",25,"0.59 ± 0.16","0.59 ± 0.16","3.14 ± 0.74",-0.01
"NAH","T2",12,"0.54 ± 0.16","0.55 ± 0.25","2.87 ± 0.66",-0.01
"NORD","T1",7,"0.54 ± 0.24","0.54 ± 0.26","2.93 ± 0.9",-0.02
"NORD","T2",17,"0.54 ± 0.21","0.54 ± 0.23","2.87 ± 0.78",0
"RL","T1",20,"0.56 ± 0.17","0.56 ± 0.21","2.93 ± 0.79",0.01
"RL","T2",32,"0.55 ± 0.17","0.57 ± 0.19","2.9 ± 0.74",-0.04
"WAB","T1",10,"0.54 ± 0.19","0.54 ± 0.24","2.81 ± 0.87",0.01
"WAB","T2",24,"0.47 ± 0.2","0.54 ± 0.29","2.52 ± 0.75",-0.13
"WBNPC1","T1",29,"0.61 ± 0.17","0.6 ± 0.19","3.36 ± 0.87",0.01
"WBNPC1","T2",65,"0.61 ± 0.14","0.61 ± 0.15","3.33 ± 0.68",0
"WBNPC2","T1",40,"0.64 ± 0.15","0.63 ± 0.16","3.53 ± 0.82",0.01
"WBNPC2","T2",76,"0.64 ± 0.13","0.62 ± 0.14","3.55 ± 0.77",0.03
"WBNPGR","T1",10,"0.63 ± 0.16","0.63 ± 0.2","3.5 ± 0.93",0
"WBNPGR","T2",27,"0.63 ± 0.14","0.61 ± 0.16","3.52 ± 0.86",0.02
"WBNPHC","T1",24,"0.63 ± 0.16","0.61 ± 0.16","3.51 ± 0.77",0.02
"WBNPHC","T2",77,"0.62 ± 0.14","0.6 ± 0.15","3.43 ± 0.76",0.03
"WBNPLB","T1",11,"0.61 ± 0.17","0.59 ± 0.2","3.28 ± 0.82",0.03
"WBNPLB","T2",39,"0.61 ± 0.13","0.62 ± 0.16","3.35 ± 0.66",-0.01
"WBNPNY","T1",18,"0.6 ± 0.18","0.61 ± 0.2","3.32 ± 0.91",-0.01
"WBNPNY","T2",26,"0.6 ± 0.15","0.6 ± 0.17","3.28 ± 0.77",0
"WBNPPAD","T1",25,"0.65 ± 0.15","0.64 ± 0.17","3.57 ± 0.86",0
"WBNPPAD","T2",44,"0.64 ± 0.13","0.62 ± 0.14","3.58 ± 0.74",0.04
"WENT","T1",5,"0.59 ± 0.19","0.56 ± 0.28","3.19 ± 1.06",0.05
"WENT","T2",5,"0.59 ± 0.17","0.6 ± 0.25","3.15 ± 1",-0.02
"EINPP","T1",62,"0.64 ± 0.11","0.63 ± 0.12","3.44 ± 0.75",0.01
"EINPP","T2",36,"0.63 ± 0.12","0.63 ± 0.15","3.39 ± 0.7",0.01
