"","WBNPGR","WBNPHC","WBNPLB","WBNPNY","WBNPPAD","WENT","WBNPC1","WBNPC2","EINPW","ETH","HZ","MBS","NORD","RL","WAB","EINPP"
"WBNPGR",NA,-0.00121890519814281,0.0036926312232825,0.00829454025960497,-0.00390752939173056,0.0243371217092592,0.00218565048926216,-0.0147956579143,0.0530739631652273,0.0593870097204615,0.0604039715953849,0.0271476148695915,0.0598749722554047,0.0849600822867861,0.161989430428469,0.0942878400217524
"WBNPHC",-0.00121890519814281,NA,0.01110310314218,0.012803880288813,0.00306090432627309,0.0189916311048394,0.00857369061480851,0.00178038536127324,0.039209732342418,0.0464363354184333,0.051822207897277,0.0258347660319499,0.0480849666534829,0.0776734980230956,0.16133648794291,0.10449901750495
"WBNPLB",0.0036926312232825,0.01110310314218,NA,0.0175526495922319,0.00862100650861193,0.0270839539614429,-0.0113198011546919,0.00691981056626843,0.0475952324061553,0.0615514413950226,0.0626422610189282,0.0228400833657536,0.0557494013709171,0.100806083897938,0.171515582251578,0.111957697728276
"WBNPNY",0.00829454025960497,0.012803880288813,0.0175526495922319,NA,0.0155629765944314,0.0278271978518503,-0.0151174081437669,0.0119182434376021,0.0422285401471078,0.0481931467285067,0.0475962828509772,0.0382019101861253,0.046155868186112,0.0887405921041654,0.17848153267981,0.134397025002356
"WBNPPAD",-0.00390752939173056,0.00306090432627309,0.00862100650861193,0.0155629765944314,NA,0.0269544447607143,0.00940607121210571,-0.0125371817814637,0.047647093259853,0.0494489697778423,0.0576273631890698,0.0259219809558082,0.0519090046531402,0.0770803533778177,0.13429758683499,0.076470221489531
"WENT",0.0243371217092592,0.0189916311048394,0.0270839539614429,0.0278271978518503,0.0269544447607143,NA,0.0225728381144984,0.0079659925204631,0.0535113173843517,0.0718322270379555,0.0567480651402333,0.0637415225120995,0.0662943745398527,0.076546378054984,0.194166552015566,0.126671087904906
"WBNPC1",0.00218565048926216,0.00857369061480851,-0.0113198011546919,-0.0151174081437669,0.00940607121210571,0.0225728381144984,NA,0.00645143806122022,0.039104438587345,0.0469288727044612,0.0476092990423234,0.0282690632935474,0.043411593816789,0.087154028929418,0.168713637916719,0.123684117653366
"WBNPC2",-0.0147956579143,0.00178038536127324,0.00691981056626843,0.0119182434376021,-0.0125371817814637,0.0079659925204631,0.00645143806122022,NA,0.045222501446729,0.0489216916140698,0.0530004353400858,0.0279455852598012,0.0499130914732534,0.0732700519763077,0.141574252977368,0.0858778280893556
"EINPW",0.0530739631652273,0.039209732342418,0.0475952324061553,0.0422285401471078,0.047647093259853,0.0535113173843517,0.039104438587345,0.045222501446729,NA,0.0277754278982467,0.0206429689982364,0.0592571826207019,0.0316406868360818,0.107344323512704,0.207112019328505,0.16502194518807
"ETH",0.0593870097204615,0.0464363354184333,0.0615514413950226,0.0481931467285067,0.0494489697778423,0.0718322270379555,0.0469288727044612,0.0489216916140698,0.0277754278982467,NA,0.0452272290761505,0.0611118208521191,0.0456439183987043,0.122612121042749,0.211532671083512,0.16264990542166
"HZ",0.0604039715953849,0.051822207897277,0.0626422610189282,0.0475962828509772,0.0576273631890698,0.0567480651402333,0.0476092990423234,0.0530004353400858,0.0206429689982364,0.0452272290761505,NA,0.0697753851258768,0.0385768613928848,0.111211022716315,0.2049173867095,0.164024052799144
"MBS",0.0271476148695915,0.0258347660319499,0.0228400833657536,0.0382019101861253,0.0259219809558082,0.0637415225120995,0.0282690632935474,0.0279455852598012,0.0592571826207019,0.0611118208521191,0.0697753851258768,NA,0.0744443777560627,0.0919475176591346,0.166359984450168,0.122116080243249
"NORD",0.0598749722554047,0.0480849666534829,0.0557494013709171,0.046155868186112,0.0519090046531402,0.0662943745398527,0.043411593816789,0.0499130914732534,0.0316406868360818,0.0456439183987043,0.0385768613928848,0.0744443777560627,NA,0.130608045155188,0.199156724809308,0.164229254815523
"RL",0.0849600822867861,0.0776734980230956,0.100806083897938,0.0887405921041654,0.0770803533778177,0.076546378054984,0.087154028929418,0.0732700519763077,0.107344323512704,0.122612121042749,0.111211022716315,0.0919475176591346,0.130608045155188,NA,0.19007439651375,0.147869588948158
"WAB",0.161989430428469,0.16133648794291,0.171515582251578,0.17848153267981,0.13429758683499,0.194166552015566,0.168713637916719,0.141574252977368,0.207112019328505,0.211532671083512,0.2049173867095,0.166359984450168,0.199156724809308,0.19007439651375,NA,0.143281642212269
"EINPP",0.0942878400217524,0.10449901750495,0.111957697728276,0.134397025002356,0.076470221489531,0.126671087904906,0.123684117653366,0.0858778280893556,0.16502194518807,0.16264990542166,0.164024052799144,0.122116080243249,0.164229254815523,0.147869588948158,0.143281642212269,NA
