"","WBNPGR","WBNPHC","WBNPLB","WBNPNY","WBNPPAD","WENT","WBNPC1","WBNPC2","AISH","CL","EINPW","ETH","HZ","MBS","NAH","NORD","RL","WAB","EINPP"
"WBNPGR",NA,0.00372877868688307,0.0119872914837471,0.0195808016660061,0.00174700001522799,0.0147466090160931,0.0144993697214308,-0.00676760342347962,0.0492204952176613,0.0874241998023805,0.0379529164675363,0.048330899987835,0.0547360017737981,0.0236433059914951,0.0501362535237573,0.0691104928722687,0.0865654964346853,0.155115266993596,0.116404897474972
"WBNPHC",0.00372877868688307,NA,0.00159640038557381,0.00849384244787993,0.00293644203034913,0.0287283837769068,0.00371920598817959,0.0029987298404739,0.0442639469268733,0.0779482389316046,0.0397319660583735,0.0510554319755772,0.0527383922107319,0.0316209755375868,0.0426195648701613,0.0542924340284775,0.0837742762623527,0.159802072591468,0.126660697571283
"WBNPLB",0.0119872914837471,0.00159640038557381,NA,0.00410968752890314,0.0125049096623308,0.0375527871504999,-0.00783978241936092,0.0115918102875404,0.0485317890285161,0.0801608644747034,0.0415777124743682,0.0594457662868898,0.0547801552501318,0.0364580099191575,0.05456891281319,0.0611947068444603,0.0909913806011299,0.178288913418305,0.140752084635263
"WBNPNY",0.0195808016660061,0.00849384244787993,0.00410968752890314,NA,0.0221698944823836,0.0536293240553537,-0.00701968648980488,0.0206166260453775,0.0720868226437351,0.0925155062623354,0.0619745498382652,0.0756638341173406,0.072799602407304,0.0389379122732597,0.0685697499923406,0.0829278505933471,0.0978284791373635,0.187988853886029,0.148139375238469
"WBNPPAD",0.00174700001522799,0.00293644203034913,0.0125049096623308,0.0221698944823836,NA,0.0229125917166815,0.0161195282631913,-0.00661709471506539,0.0452052378456092,0.0826717902245717,0.0352451588045765,0.0529855979889264,0.0538015842597608,0.0339123416076989,0.037749290022696,0.0590724705146189,0.0816173622766225,0.14348799178451,0.10636446611767
"WENT",0.0147466090160931,0.0287283837769068,0.0375527871504999,0.0536293240553537,0.0229125917166815,NA,0.0425677651608106,0.0100662371073462,0.0647252115908241,0.101289012781334,0.0548545514111604,0.075999800787394,0.0777267955577282,0.057258245054635,0.0762684645152948,0.0790005911620272,0.108304330782762,0.226535668599535,0.145192782274496
"WBNPC1",0.0144993697214308,0.00371920598817959,-0.00783978241936092,-0.00701968648980488,0.0161195282631913,0.0425677651608106,NA,0.0148529328040458,0.0558418310934668,0.0807306842070856,0.0481229144543689,0.0637713654430709,0.059909227934265,0.0363306957371955,0.0590466636123165,0.0677054701406553,0.0910316054009233,0.178686449497077,0.144134929526062
"WBNPC2",-0.00676760342347962,0.0029987298404739,0.0115918102875404,0.0206166260453775,-0.00661709471506539,0.0100662371073462,0.0148529328040458,NA,0.04367265884875,0.0785345636131292,0.0339921536323737,0.0487155441974394,0.0515856797723342,0.029188146044025,0.0417985794850778,0.0596122217533298,0.0802032250187945,0.146568053064683,0.110754064630821
"AISH",0.0492204952176613,0.0442639469268733,0.0485317890285161,0.0720868226437351,0.0452052378456092,0.0647252115908241,0.0558418310934668,0.04367265884875,NA,0.0516981678825602,0.0146280553724341,0.0367655037061639,0.0295003219158888,0.0646149295962302,0.054443943757881,0.0428161119067539,0.120787538989759,0.225128059505027,0.195750350059074
"CL",0.0874241998023805,0.0779482389316046,0.0801608644747034,0.0925155062623354,0.0826717902245717,0.101289012781334,0.0807306842070856,0.0785345636131292,0.0516981678825602,NA,0.0554468791825606,0.075470065974103,0.064516233763743,0.102005143654839,0.110504693205563,0.0857872715420704,0.147400656088401,0.274101545809107,0.229369216146612
"EINPW",0.0379529164675363,0.0397319660583735,0.0415777124743682,0.0619745498382652,0.0352451588045765,0.0548545514111604,0.0481229144543689,0.0339921536323737,0.0146280553724341,0.0554468791825606,NA,0.0304849915483601,0.0237100904695026,0.0630606836932741,0.0420905625993826,0.0393497687854764,0.125998831281821,0.221620889287735,0.176374409895938
"ETH",0.048330899987835,0.0510554319755772,0.0594457662868898,0.0756638341173406,0.0529855979889264,0.075999800787394,0.0637713654430709,0.0487155441974394,0.0367655037061639,0.075470065974103,0.0304849915483601,NA,0.0449302137202726,0.0725903614797647,0.0599367371171621,0.065569318064346,0.128899951561333,0.212339484996982,0.186778733583135
"HZ",0.0547360017737981,0.0527383922107319,0.0547801552501318,0.072799602407304,0.0538015842597608,0.0777267955577282,0.059909227934265,0.0515856797723342,0.0295003219158888,0.064516233763743,0.0237100904695026,0.0449302137202726,NA,0.0838580438112417,0.0719568620330595,0.0686724883506742,0.130660842875931,0.215386029974538,0.190169245931838
"MBS",0.0236433059914951,0.0316209755375868,0.0364580099191575,0.0389379122732597,0.0339123416076989,0.057258245054635,0.0363306957371955,0.029188146044025,0.0646149295962302,0.102005143654839,0.0630606836932741,0.0725903614797647,0.0838580438112417,NA,0.0686811768535558,0.0820786594128716,0.0884991932999489,0.167062742702504,0.145206189037311
"NAH",0.0501362535237573,0.0426195648701613,0.05456891281319,0.0685697499923406,0.037749290022696,0.0762684645152948,0.0590466636123165,0.0417985794850778,0.054443943757881,0.110504693205563,0.0420905625993826,0.0599367371171621,0.0719568620330595,0.0686811768535558,NA,0.071297256762429,0.12791634155422,0.197971161704414,0.142978292750379
"NORD",0.0691104928722687,0.0542924340284775,0.0611947068444603,0.0829278505933471,0.0590724705146189,0.0790005911620272,0.0677054701406553,0.0596122217533298,0.0428161119067539,0.0857872715420704,0.0393497687854764,0.065569318064346,0.0686724883506742,0.0820786594128716,0.071297256762429,NA,0.141823412372298,0.217839225856021,0.206150437858089
"RL",0.0865654964346853,0.0837742762623527,0.0909913806011299,0.0978284791373635,0.0816173622766225,0.108304330782762,0.0910316054009233,0.0802032250187945,0.120787538989759,0.147400656088401,0.125998831281821,0.128899951561333,0.130660842875931,0.0884991932999489,0.12791634155422,0.141823412372298,NA,0.208053581392273,0.166932050846979
"WAB",0.155115266993596,0.159802072591468,0.178288913418305,0.187988853886029,0.14348799178451,0.226535668599535,0.178686449497077,0.146568053064683,0.225128059505027,0.274101545809107,0.221620889287735,0.212339484996982,0.215386029974538,0.167062742702504,0.197971161704414,0.217839225856021,0.208053581392273,NA,0.154549233502153
"EINPP",0.116404897474972,0.126660697571283,0.140752084635263,0.148139375238469,0.10636446611767,0.145192782274496,0.144134929526062,0.110754064630821,0.195750350059074,0.229369216146612,0.176374409895938,0.186778733583135,0.190169245931838,0.145206189037311,0.142978292750379,0.206150437858089,0.166932050846979,0.154549233502153,NA
