"","WBNPGR","WBNPHC","WBNPLB","WBNPNY","WBNPPAD","WENT","WBNPC1","WBNPC2","EINPW","ETH","HZ","MBS","NORD","RL","WAB","EINPP"
"WBNPGR",NA,0.00685267657493375,0.0199393762705906,0.0185434363480656,0.00464859570347197,0.0465554051032501,0.0133566077354957,-0.0107863427417704,0.0726158093814172,0.0835471182143239,0.085731040235492,0.0400699339825347,0.0876102983327203,0.109225066943932,0.202869065841272,0.115608974804359
"WBNPHC",-0.011647692090765,NA,0.0199594634475667,0.0210350882682098,0.00733234608333329,0.0347506239100791,0.0130365593544626,0.00358554297696439,0.0475694931922262,0.0649097339456818,0.0643137111405877,0.032352996870101,0.0725397850360023,0.0994962819242562,0.202434111205627,0.129253225319289
"WBNPLB",-0.0107805964251583,-0.000257883857124944,NA,0.030636837292278,0.0200123155436324,0.0547198119857039,-0.00607584417066531,0.0151265608119695,0.0694949299505806,0.0903702872477636,0.0848619172528137,0.0334821021694157,0.0819874036625848,0.131517889126238,0.215583197464562,0.139416701219841
"WBNPNY",-0.000774895689455522,0.00213350349347059,0.00593245693952306,NA,0.0239767693608793,0.0529237791208073,-0.0128170587315481,0.0179926481867678,0.0567629053088868,0.0704411494299082,0.0613562703815354,0.0529886197047119,0.075652753245756,0.107922367238505,0.223390090026503,0.165139439401549
"WBNPPAD",-0.0118444718189139,-0.00278335584745672,-0.00118627191977359,0.00791032399863106,NA,0.0433263291148801,0.0179113500623274,-0.0114011191611207,0.0593421018309744,0.0686434713432165,0.0695914295025724,0.0365036320088033,0.0744506061975007,0.0960934569801828,0.169746340215654,0.0943820795500548
"WENT",0.00337410172881204,0.00207504713744674,0.00318504278518414,0.00602155928012428,0.0106665452481194,NA,0.041950614350286,0.0204735041813167,0.0766577355031231,0.112775191222999,0.0920685861625199,0.0904881042495623,0.0989992150325291,0.111811194057512,0.247475086954625,0.157698101338585
"WBNPC1",-0.0073185389340391,0.00139559267567084,-0.0159494003322738,-0.017046841788642,0.00238139934114481,0.00596778485729338,NA,0.0122332500959046,0.0534037041143984,0.0684882100629661,0.0615416967600421,0.0382422439837994,0.0669341647758561,0.108090986666649,0.209678093374062,0.150231659990942
"WBNPC2",-0.0188405215043885,-0.00262361610799157,-0.00100094001631879,0.00611342919645951,-0.0135798077863193,-0.00388789091412,0.0014927465576727,NA,0.0559335840994074,0.0673981463784921,0.0652460101484233,0.0371730056642874,0.0695832919439238,0.0920940184728967,0.176834443180979,0.103591036376767
"EINPW",0.0348984087896871,0.027352087657287,0.0287048901977963,0.0287652089787167,0.0363285198251402,0.0323725924918006,0.0261862299362029,0.0346436074087523,NA,0.0402693508226249,0.0272999508066916,0.0770351577519171,0.0489712629917694,0.131845829098403,0.249631878364514,0.194512404904751
"ETH",0.0357172001482578,0.0278159424809286,0.0371062137217694,0.0282435246773582,0.0317461771607121,0.0344277427789288,0.0286432106206896,0.0314816308309863,0.015405832429505,NA,0.0613767636856777,0.0782312789171647,0.067993589123157,0.161942772461872,0.266269619621396,0.193452601433197
"HZ",0.0394338638073594,0.03770794340663,0.0401833727330371,0.0338295100070759,0.0458774257182184,0.0276226788666983,0.0343307779539442,0.0412698055475605,0.0141599220099701,0.0303552029035003,NA,0.0876682884433718,0.0582101393220749,0.14309276211688,0.244051894086093,0.197143186114379
"MBS",0.0148279686709735,0.018205055876623,0.0116201756215657,0.024942514849718,0.0166906833353886,0.0390245588779736,0.0189628249080408,0.0196493051751812,0.0437728951456448,0.0443948913035983,0.0541927959829202,NA,0.0962685295962257,0.11270681475851,0.205969616565417,0.149039497862532
"NORD",0.0324403132816138,0.0234232410135558,0.0310783104209974,0.0214503221067457,0.030590164372142,0.0353751510343373,0.0208903408853534,0.0309276335890335,0.0164129702218598,0.0237740762261492,0.0205318177944865,0.0526768155880991,NA,0.171074630370372,0.259381344210626,0.201370007895274
"RL",0.0572346017224158,0.0541957357392127,0.0683267794094452,0.0628000615523994,0.054318781786982,0.0406199019113992,0.0618208134883715,0.0518675979510546,0.0802144597196021,0.0886247975149636,0.080733994368551,0.0649067435854175,0.0916784305748987,NA,0.227723521677856,0.180176844048592
"WAB",0.126103008407977,0.125615522231786,0.128576692326178,0.138788340857908,0.103025771120908,0.149481818879609,0.131286611957318,0.111801904403652,0.168290667156122,0.160893442974374,0.167527551715816,0.130539488631468,0.143236778400708,0.149823283066911,NA,0.174472059268047
"EINPP",0.0747197381875432,0.0836642285620835,0.0874803306856781,0.108408587536868,0.0600008481271921,0.0985994974125138,0.0984540836507817,0.0692020450945881,0.135938134474724,0.131243449963887,0.135358623855239,0.0944715876017882,0.127631766916455,0.117315270561768,0.114998761338702,NA
