"","WBNPGR","WBNPHC","WBNPLB","WBNPNY","WBNPPAD","WENT","WBNPC1","WBNPC2","AISH","CL","EINPW","ETH","HZ","MBS","NAH","NORD","RL","WAB","EINPP"
"WBNPGR",NA,0.00717307729015551,0.0189877955083049,0.029700111797593,0.00543092729152925,0.039894670302474,0.0216546550625943,-0.00514329974309798,0.0623458241945554,0.110769926648039,0.0551280582987183,0.06241222782834,0.0676957889606908,0.0332019691986498,0.0730516761166948,0.0963840344788412,0.110435385370261,0.179996106596903,0.142295837674391
"WBNPHC",0.000159755300810275,NA,0.00472178976284548,0.0134751618746383,0.00587354491123812,0.0478387173963573,0.00599731792167437,0.00539283002314065,0.0565463858029707,0.0968820698628629,0.0525559986070821,0.0634966847361074,0.0638309373782996,0.0449429046787526,0.063446795789287,0.0721511390283039,0.103921666761481,0.186242247473194,0.158269041260529
"WBNPLB",0.00540945821257336,-0.00129874423752088,NA,0.00939421444757476,0.0189159456929963,0.0590147229702107,-0.00682550407214121,0.0175813194173457,0.0641943589882376,0.100520249268915,0.060443880607961,0.0766633292380037,0.0713154409908091,0.0529763450145221,0.0801743588813523,0.0848195987598272,0.112721572005264,0.210350645240952,0.166980614676938
"WBNPNY",0.0101629599086769,0.00374871176718828,-0.0016695904305814,NA,0.0328954548632321,0.0810103629629648,-0.00500968861998925,0.0308339781779791,0.0936152658594687,0.123107354821591,0.0863039403228798,0.099334601344504,0.0912185356761876,0.0531800236490099,0.101131749335314,0.108575801645708,0.122161162123343,0.222403967177291,0.179391742900365
"WBNPPAD",-0.00216044397352512,0.00044561299841732,0.00611610640991097,0.0122534000817331,NA,0.0457219348228895,0.0235089357891125,-0.00595070515024845,0.0570224839242143,0.102426355426214,0.0460438707104767,0.0669008548343453,0.0660293151365094,0.0452429491346358,0.0563674279740466,0.0756870789520847,0.106277130958166,0.168082756860025,0.130608465835848
"WENT",-0.0072988499927669,0.0100688435247454,0.017486524612489,0.0275498728322404,0.00153920028024802,NA,0.0651882627723599,0.0292871120145979,0.100344089226434,0.141520859784678,0.0917583647730344,0.107161948741082,0.108796305068176,0.0870716165715187,0.119314481509817,0.10812048838496,0.151102752141763,0.277462266286181,0.182744437428598
"WBNPC1",0.00842539856913762,0.00151764886465586,-0.00889288988351931,-0.00907785507668607,0.00937561443201279,0.0218576613281343,NA,0.0216935812730326,0.0721440379179254,0.10252098948357,0.0683821025557893,0.0809454747776971,0.0752911034536933,0.0509089643300683,0.0867392302162377,0.0897843412063856,0.111167976777958,0.209367395902277,0.172231115986883
"WBNPC2",-0.00850194867100869,0.000765267648399233,0.00584568178407455,0.0118797145091239,-0.00728943319715087,-0.00721613109235148,0.00883648508157941,NA,0.0546425426802093,0.0975007896247855,0.0457181589253788,0.0617018857347836,0.0620653922160193,0.0385885383101262,0.0611319349283597,0.0780509978239266,0.101939406758887,0.169761837886484,0.134379324232821
"AISH",0.0368085637891448,0.0327969243023393,0.0337890588792109,0.0530208242782866,0.0345646856475835,0.030317358445998,0.0413182579475142,0.0336399114657874,NA,0.0692470426350086,0.0233016698313642,0.0478611307640526,0.0426362301240737,0.0833032207250048,0.0707655941286652,0.0588548289668898,0.150365831985243,0.260876738255818,0.232632099095666
"CL",0.0639765480074368,0.0594510432482076,0.0614127047455298,0.0650020757856811,0.0633224210413313,0.0701884719461131,0.0609629124339566,0.0606780104935892,0.0356987470063431,NA,0.0748120293328958,0.0965306022055107,0.0879839752844203,0.129393653383528,0.152097876702839,0.116599771574635,0.185363499051613,0.319449166481994,0.272641900574988
"EINPW",0.0222200676558908,0.0267746564245165,0.024104633510819,0.0379053384512639,0.0239747459121202,0.0204149537873451,0.0297473926145808,0.0225500822434832,0.00732147774849792,0.0393074998399306,NA,0.0434993133513207,0.0354985712751092,0.0848661630873415,0.0632928397691966,0.060398040523121,0.161854541293641,0.25668119910135,0.210223862431453
"ETH",0.0365279828111615,0.0392475542162206,0.0434398542517188,0.052849101736536,0.0400238916961777,0.0444262720571458,0.0466685586032717,0.0373813120791463,0.0267138295155427,0.0551596478856098,0.0188743805576419,NA,0.0592552193184122,0.096092859033474,0.0866726007495471,0.0891808841953569,0.165514555595909,0.246673861302858,0.224711993341104
"HZ",0.0406217328744742,0.0413927284404254,0.0399744803952889,0.0538727986055559,0.0413932856513726,0.046989186234023,0.044778570893448,0.0402298741187245,0.018387277716885,0.0450715788742505,0.0131706598852532,0.0305596338836434,NA,0.10720491068163,0.0987460743778558,0.0951638852124592,0.165652908190973,0.2614854145896,0.224847419746946
"MBS",0.0145178065958393,0.0190515338230309,0.0226186742161114,0.024890433692789,0.0221071735539692,0.0267882175404582,0.0226659527767878,0.0204032332080146,0.0448335940977293,0.0745595531929778,0.0408217963636773,0.0505137744143172,0.0582538510195386,NA,0.0919873392824992,0.101219775357903,0.116828983567978,0.19855611048849,0.175091826796523
"NAH",0.0289943384456261,0.0236948115986831,0.0303882453174423,0.0367720744525308,0.0199548750604505,0.0359424028067186,0.0324811310409743,0.0234479068201841,0.0378175203441186,0.0765870076421119,0.0235733165077546,0.0369103070877908,0.0444225915970164,0.0474212454026715,NA,0.101560798888805,0.172380038250345,0.24582186824475,0.176272055578675
"NORD",0.0455705670759649,0.0383300620637078,0.0416893537834961,0.0582492853697711,0.0428439549898762,0.0509646321397675,0.0470182193727412,0.042639676405092,0.0280112305214225,0.0591466232701442,0.0205816821993395,0.0452277882214214,0.0456200105293113,0.0628843318004502,0.0429191223464751,NA,0.174292451851431,0.251911642072896,0.246010031360999
"RL",0.0633914765249895,0.0653017374393766,0.070833748623115,0.075346653300689,0.0579470294081383,0.0684457040696296,0.071373738371375,0.0587559926045427,0.0906100785902454,0.113681011907155,0.0920247244944928,0.0934599407336679,0.0971719921100131,0.062249270496827,0.0885940817790976,0.110476851935524,NA,0.251462897292009,0.199161415303158
