"Population","Locus","T1","T2","Prevalence"
"RL","RM372",0.10539,0.13213,2
"WAB","BM1824",0.11065,0.16347,2
"EINPP","BMS1716",NA,0.10018,1
"EINPP","ILSTS102",NA,0.13167,1
"EINPP","INRA037",NA,0.10688,1
"EINPW","BM4107",NA,0.1129,1
"EINPW","BMS1001",NA,0.16344,1
"EINPW","BMS1172",NA,0.11922,1
"ETH","BMS1675",0.18067,NA,1
"HZ","BL1036",0.10566,NA,1
"HZ","BMS601",0.11989,NA,1
"HZ","HUJ246",NA,0.17374,1
"MBS","BMS1862",NA,0.18936,1
"NAH","BM711",NA,0.15027,1
"NAH","BM720",NA,0.19584,1
"NAH","BMS1747",NA,0.23684,1
"NAH","BMS510",NA,0.11987,1
"NAH","ILSTS102",NA,0.11752,1
"NAH","INRA133",NA,0.17444,1
"NAH","TGLA122",NA,0.15257,1
"NAH","TGLA53",NA,0.11236,1
"NORD","BM4107",NA,0.1207,1
"NORD","BM4440",NA,0.11097,1
"NORD","BMS1862",0.17976,NA,1
"NORD","BMS510",0.20667,NA,1
"NORD","BMS601",0.14614,NA,1
"NORD","HUJ246",NA,0.10599,1
"NORD","RM372",0.16278,NA,1
"RL","BM4440",0.11691,NA,1
"RL","BM47",0.20369,NA,1
"RL","BMS1355",0.1917,NA,1
"RL","URB011",0.1107,NA,1
"WAB","BM1862",NA,0.17348,1
"WAB","BM711",0.11065,NA,1
"WAB","BMS1675",0.11065,NA,1
"WAB","BMS1747",0.10479,NA,1
"WAB","BMS410",0.15743,NA,1
"WAB","BMS510",0.11752,NA,1
"WAB","BMS601",NA,0.23764,1
"WAB","BMS941",0.1917,NA,1
"WAB","INRA133",NA,0.17662,1
"WAB","INRA194",NA,0.24684,1
"WBNPGR","BMS510",0.11027,NA,1
"WBNPHC","BMS1355",0.11587,NA,1
"WBNPHC","BMS941",0.10799,NA,1
"WBNPLB","BL1036",0.16298,NA,1
"WBNPLB","BM47",NA,0.11803,1
"WBNPLB","BM757",0.13201,NA,1
"WBNPLB","BMS410",0.12271,NA,1
"WBNPLB","BMS601",0.13086,NA,1
"WBNPLB","INRA133",0.15652,NA,1
"WBNPNY","BM1824",NA,0.14767,1
"WBNPNY","BMS1172",NA,0.11539,1
"WBNPNY","BMS1747",NA,0.14572,1
"WBNPNY","BMS510",NA,0.12051,1
"WBNPNY","SPS115",NA,0.11383,1
"WENT","BM1225",NA,0.26881,1
"WENT","BMS1001",0.26895,NA,1
"WENT","BMS1074",0.19831,NA,1
"WENT","BMS1315",0.23618,NA,1
"WENT","BMS1355",0.16487,NA,1
"WENT","BMS1675",NA,0.16487,1
"WENT","BMS410",NA,0.26895,1
"WENT","BMS601",NA,0.19831,1
"WENT","BMS941",NA,0.23618,1
"WENT","IL4",0.23618,NA,1
"WENT","SPS115",0.19831,NA,1
