"","Herd","QWood","QPlains"
"1","AISH","0.04±0.027","0.96±0.027"
"2","CL","0.043±0.034","0.957±0.034"
"3","EINPP","0.967±0.018","0.033±0.018"
"4","EINPW","0.056±0.029","0.944±0.029"
"5","ETH","0.054±0.043","0.946±0.043"
"6","HZ","0.042±0.025","0.958±0.025"
"7","MBS","0.324±0.086","0.676±0.086"
"8","NAH","0.203±0.307","0.797±0.307"
"9","NORD","0.042±0.025","0.958±0.025"
"10","RL","0.571±0.103","0.429±0.103"
"11","WAB","0.871±0.07","0.129±0.07"
"12","WBNPGR","0.429±0.092","0.571±0.092"
"13","WBNPHC","0.382±0.1","0.618±0.1"
"14","WBNPLB","0.324±0.105","0.676±0.105"
"15","WBNPNY","0.335±0.11","0.665±0.11"
"16","WBNPPAD","0.444±0.109","0.556±0.109"
"17","WENT","0.318±0.111","0.682±0.111"
