"Locus","EINPP","EINPW","ETH","HZ","MBS","NORD","RL","WAB","WBNPGR","WBNPHC","WBNPLB","WBNPNY","WBNPPAD","WENT"
"AGLA232","0.9572","1.0000","1.0000","0.6992","0.9524","1.0000","1.0000","1.0000","1.0000","1.0000","0.9118","0.9600","0.9076","0.9827"
"BL1036","0.7429","1.0000","1.0000","0.6706","0.9368","1.0000","1.0000","1.0000","1.0000","1.0000","0.8693","0.9600","0.2793",NA
"BM1225","0.9572","1.0000","1.0000","0.8190","1.0000",NA,"0.9117","0.8358","1.0000","0.7671","0.9143","0.9571","0.9136","1.0000"
"BM1706","0.7429","1.0000","1.0000","0.6992","1.0000","1.0000","0.9117","0.8358","1.0000","1.0000","1.0000","0.9571","0.4214","1.0000"
"BM17132","0.8232","1.0000","1.0000","0.6706","0.9368","1.0000","0.8590","0.8358","1.0000","0.7671","0.8693","0.9571","0.3724","1.0000"
"BM1824","0.9572","1.0000","1.0000","0.6706","0.9368","1.0000","1.0000","0.8358","1.0000","0.8648","0.8693","0.9571","1.0000","1.0000"
"BM1862","0.9572","1.0000","1.0000","0.9104","0.9524","1.0000","0.5629","0.8358","1.0000","0.7671","0.8693","1.0000","0.9258","1.0000"
"BM2113","0.9261","1.0000","1.0000","0.6992","0.9368","1.0000","0.0441*","1.0000","1.0000","1.0000","1.0000","0.9571","1.0000","1.0000"
"BM2830","0.7429","1.0000","1.0000","0.6706","1.0000","1.0000","0.3391","0.9408","1.0000","0.9876","0.9118","0.9571","0.9258","1.0000"
"BM4107","0.9572","1.0000","1.0000","0.6706","0.9368","0.9240","1.0000","1.0000","1.0000","0.8162","1.0000","0.9571","0.8043","1.0000"
"BM4311","0.9572","1.0000","1.0000","0.6706","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000","0.8693","0.9600","0.9258","1.0000"
"BM4440","0.9972","1.0000","1.0000","0.6706","0.9368","1.0000","0.6723","0.9408","1.0000","1.0000","1.0000","0.9571","0.9076","1.0000"
"BM47","0.9572","1.0000",NA,"0.6706","0.9524",NA,"0.0563",NA,NA,"1.0000","1.0000",NA,"1.0000",NA
"BM711","0.7660","1.0000",NA,"0.6992","1.0000",NA,"1.0000","0.8358","1.0000","1.0000",NA,"1.0000","0.6738",NA
"BM720","0.9572","1.0000","1.0000","0.6992","0.9368","0.7876","0.2303","0.8358","1.0000","0.7671","0.8693","0.9600","0.9290","1.0000"
"BM757","0.9572","1.0000","1.0000","0.6992","0.9785","1.0000","1.0000","0.8358","1.0000","1.0000","0.8693","0.9571","1.0000","1.0000"
"BMC4214","0.9572","1.0000","1.0000","0.6992","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000","0.8693","0.9571","1.0000","0.8139"
"BMS1001","0.9572","1.0000","1.0000","0.6706","0.9368","1.0000","0.9780","1.0000","1.0000","0.8180","1.0000","0.6251","0.5202","0.8139"
"BMS1074","0.7429","1.0000","1.0000","0.6706","0.9368","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000","0.9571","0.9258","0.8139"
"BMS1117","0.9572","1.0000","1.0000","1.0000","0.9368","1.0000","0.8648","0.9408","1.0000","0.8648","1.0000","1.0000","0.5202","1.0000"
"BMS1172","0.9972","1.0000","1.0000","0.6706","1.0000","1.0000","0.9117","1.0000","1.0000","0.7727","0.8693","0.9571","0.9730","0.8139"
"BMS1315","0.8232","1.0000","1.0000","0.6706","0.9368","1.0000","0.9117","1.0000","1.0000","1.0000","0.8693","1.0000","1.0000","0.8139"
"BMS1355","0.7429","1.0000",NA,"1.0000","1.0000","1.0000","0.2303","1.0000","1.0000","0.7671","0.9802","0.9571","0.9258","1.0000"
"BMS1675","0.9972","1.0000","1.0000","0.8190","0.9524","1.0000","1.0000","0.8358","1.0000","0.7727","0.8693","1.0000","0.4421","1.0000"
"BMS1716","0.9972","1.0000","1.0000","0.6706","0.9368","1.0000","1.0000","0.4089","1.0000","1.0000","1.0000","0.9571","0.4421","1.0000"
"BMS1747","0.9572","1.0000","1.0000","0.8190","1.0000","1.0000","0.5629","0.9408","1.0000","1.0000","0.8693","1.0000","0.4421","1.0000"
"BMS1857","0.7935","1.0000","1.0000","0.6706","0.9785","1.0000","1.0000","1.0000","1.0000","0.8162","1.0000","0.9571","0.9076","1.0000"
"BMS1862","0.7429","1.0000","1.0000","0.7511","1.0000","0.7876","1.0000","0.9408","1.0000","0.7671","0.9081","0.9571","0.9258","1.0000"
"BMS2258","0.9572","1.0000","1.0000","0.6992","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000","0.9600","1.0000","1.0000"
"BMS2639","0.7660","1.0000","1.0000","0.6992","0.9524","1.0000","0.9117","1.0000","1.0000","0.8648","0.8693","0.9571","0.9076","1.0000"
