"Population","Locus.1","Locus.2","p.value","std.err","switches","p.adj_herd"
"CL","AGLA232","BM1225",0.005348,0.000677,90809,0.0204645966101695
"CL","BM1225","BM1706",0.00311,0.000444,103579,0.0147253556485356
"CL","AGLA232","BM17132",0,0,52733,0
"CL","BM1706","BM17132",0.00449,0.000681,65903,0.0182833381294964
"CL","AGLA232","BM1824",0.00254,0.000863,40519,0.0129567567567568
"CL","BM1225","BM1824",0.00653,0.000969,63659,0.0231843018867925
"CL","BM1706","BM1824",0.01776,0.001545,51467,0.0440291868131868
"CL","BM17132","BM1824",0.003816,0.000873,34250,0.0164921379310345
"CL","BM1225","BM1862",0.010664,0.000717,113283,0.032077312
"CL","BM1225","BM2113",0.002224,0.000329,106351,0.0119997714285714
"CL","BM1706","BM2113",1.6e-05,1.6e-05,84907,0.000462769230769231
"CL","BM17132","BM2113",0.000762,0.000239,67232,0.00632011764705882
"CL","BM1862","BM2113",0.01644,0.000844,92542,0.0421461818181818
"CL","AGLA232","BM2830",0.001388,0.000218,84127,0.00905008092485549
"CL","BM1706","BM2830",0.017736,0.000691,92997,0.0440291868131868
"CL","BM1824","BM2830",0.011128,0.000736,59736,0.0329458897637795
"CL","BM1706","BM4107",0.020874,0.000615,198380,0.0497798562367865
"CL","BM1824","BM4107",0.00312,0.000295,155173,0.0147253556485356
"CL","AGLA232","BM4311",0.000444,0.000163,58588,0.00447171428571429
"CL","BM1225","BM4311",0.000148,7.8e-05,88998,0.00245505882352941
"CL","BM17132","BM4311",0,0,50546,0
"CL","BM1824","BM4311",0.001682,0.000506,40251,0.0104170491803279
"CL","BM2830","BM4311",0.013894,0.00079,82312,0.0374043723150358
"CL","BM4107","BM4311",0.010438,0.000486,189620,0.031565855227882
"CL","BM17132","BM4440",0.001366,0.000364,66831,0.00895841860465116
"CL","BM1824","BM4440",0.005636,0.000815,54272,0.0213790067114094
"CL","BM2113","BM4440",0.00982,0.000875,85382,0.0302649180327869
"CL","BM2830","BM4440",0.011214,0.00058,87308,0.0331135916230366
"CL","BM4311","BM4440",0.004434,0.000523,72528,0.0182538394160584
"CL","AGLA232","BM720",0,0,50595,0
"CL","BM1706","BM720",0.00014,0.000107,63280,0.00242690909090909
"CL","BM17132","BM720",0,0,44253,0
"CL","BM1824","BM720",0.000504,0.00049,34047,0.00469844628099174
"CL","BM2113","BM720",0.000364,0.000157,66091,0.00402541176470588
"CL","BM2830","BM720",0.004366,5e-04,73623,0.0180727912087912
"CL","BM4107","BM720",0.001036,0.000137,180615,0.00763796078431373
"CL","BM4311","BM720",0.000676,0.000259,50667,0.00585526717557252
"CL","BM1225","BM757",0.000122,5.5e-05,119924,0.00221961290322581
"CL","BM1706","BM757",0.008182,0.000735,96541,0.0267515826086957
"CL","BM17132","BM757",0.005648,0.000565,79806,0.0213790067114094
"CL","BM4107","BM757",0.00982,0.000476,208928,0.0302649180327869
"CL","BM4311","BM757",0.010244,0.000867,86112,0.0312303567567568
"CL","BM720","BM757",0.016152,0.001276,78224,0.041692118993135
"CL","AGLA232","BMC4214",0.001762,0.000259,108139,0.0105160634920635
"CL","BM1706","BMC4214",0.003726,0.000407,119185,0.0163538054474708
"CL","BM17132","BMC4214",0.012614,0.00093,98652,0.0353066799007444
"CL","BM1824","BMC4214",0.009788,0.001227,78617,0.0302649180327869
"CL","BM2830","BMC4214",0.000562,0.00015,135420,0.00511238709677419
"CL","BM4107","BMC4214",0.004498,0.000235,254004,0.0182833381294964
"CL","BM4311","BMC4214",0.008372,0.000762,105928,0.0270590716332378
"CL","BM4440","BMC4214",0.012198,0.000882,114357,0.0346696624685139
"CL","BM711","BMC4214",0.018216,0.000524,243057,0.0448638602620087
"CL","BM720","BMC4214",0.000414,0.000162,96095,0.00430502752293578
"CL","BM1225","BMS1001",0.017016,0.00119,82195,0.0432036674157303
"CL","BM1706","BMS1001",0.014728,0.00119,66062,0.0391820377358491
"CL","BM17132","BMS1001",0.011344,0.001307,50744,0.0331795647668394
"CL","BM1824","BMS1001",0.013524,0.001909,41146,0.036848
"CL","BM1862","BMS1001",0.000874,0.000203,72649,0.00689420979020979
"CL","BM2113","BMS1001",0.001756,0.000326,69091,0.0105160634920635
"CL","BM4311","BMS1001",0.001888,0.000653,56826,0.0110345284974093
"CL","BM720","BMS1001",0.005886,0.001029,50403,0.0218203278688525
"CL","BMC4214","BMS1001",6.8e-05,4.7e-05,96428,0.00156538775510204
"CL","AGLA232","BMS1074",0.000392,0.000184,47378,0.00417147169811321
"CL","BM1225","BMS1074",0.01254,0.001139,74724,0.0351868656716418
"CL","BM17132","BMS1074",0.000968,0.000381,43428,0.00730944
"CL","BM1824","BMS1074",0.001146,0.000461,31777,0.00823368152866242
"CL","BM1862","BMS1074",0.014328,0.001292,64061,0.0383895106888361
"CL","BM711","BMS1074",0.016638,0.000709,138948,0.0423751151241535
"CL","BM720","BMS1074",0.012306,0.001565,41866,0.0348773065326633
"CL","BMC4214","BMS1074",0.000312,0.000134,89045,0.003807
"CL","AGLA232","BMS1117",0.013814,0.001374,57782,0.037277971291866
