"Locus","AISH","CL","EINPP","EINPW","ETH","HZ","MBS","NAH","NORD","RL","WAB","WBNPGR","WBNPHC","WBNPLB","WBNPNY","WBNPPAD","WENT"
"AGLA232","0.9820","1.0000","0.9488","0.6560","1.0000","1.0000","0.9843","0.8741","1.0000","1.0000","1.0000","0.8227","0.7038","0.9835","0.9152","0.9623","1.0000"
"BL1036","0.8765",NA,"0.6122","1.0000","0.8938","1.0000","0.9843","1.0000","1.0000","1.0000","1.0000","0.9800","0.8873","0.9615","0.7146","0.8523","1.0000"
"BM1225","0.7941","1.0000","0.9488","0.9373","0.8938","1.0000","1.0000","0.6897","1.0000","1.0000","1.0000","0.6081","0.8873","0.9105","0.8577","0.4288","1.0000"
"BM1706","0.8765","1.0000","0.6547","0.9387","0.8938","1.0000","1.0000","0.7778","1.0000","1.0000","1.0000","1.0000","0.4962","0.9105","0.9152","0.6207","1.0000"
"BM17132","0.7780","0.9045","0.9488","1.0000","0.8938","1.0000","0.9472","0.6128","1.0000","1.0000","1.0000","0.4778","0.8873","0.9105","0.4880","0.9431","1.0000"
"BM1824","0.8765","0.9714","0.3273","0.6560","0.8938","1.0000","0.6512","1.0000","1.0000","1.0000","1.0000","0.6653","1.0000","0.9342","0.3080","0.9246","1.0000"
"BM1862","0.9820","1.0000","0.6258","0.9373","1.0000","1.0000","1.0000","0.7778","1.0000","1.0000","1.0000","0.6081","0.9043","0.6591","0.8768","0.4288","1.0000"
"BM2113","0.7780","1.0000","0.3273","0.9123","1.0000","1.0000","0.9843","1.0000","1.0000","1.0000","1.0000","0.3944","0.8873","0.9105","0.8389","0.8523","1.0000"
"BM2830","0.7941","1.0000","0.7062","0.9387","0.8938","1.0000","0.9472","0.6897","1.0000","1.0000","1.0000","0.7668","0.4962","0.9105","0.9152","0.9623","1.0000"
"BM4107","0.9627","1.0000","0.3273","0.6560","1.0000","1.0000","0.9843","1.0000","1.0000","1.0000","1.0000","0.6081","0.8571","0.9835","0.7146","0.9623","1.0000"
"BM4311","0.7780","0.9045","0.8707","0.9387","0.8938","1.0000","0.9472","0.9954","1.0000","1.0000","1.0000","0.6081","0.4900","0.9105","0.9354","0.9623","1.0000"
"BM4440","0.7780","0.9714","0.9488","0.6560","1.0000","1.0000","0.9843","1.0000","1.0000","1.0000","1.0000","0.7268","1.0000","0.9502","0.9152","0.7546","1.0000"
"BM47",NA,NA,"0.9488","1.0000",NA,NA,"1.0000","1.0000",NA,NA,NA,"0.7964","1.0000","0.4263","1.0000","0.8629",NA
"BM711","1.0000","1.0000","0.3273","1.0000","1.0000","1.0000",NA,"0.6128","1.0000","1.0000","1.0000","0.8034","0.7156","0.9105","1.0000","0.9246","1.0000"
"BM720","0.7780","0.9045","0.9488","0.9387","0.8938","1.0000","0.9843","0.6003","1.0000","1.0000","1.0000","0.8274","0.4181","0.6591","0.4880","0.9623","1.0000"
"BM757","0.4512","1.0000","0.6949","0.9387","1.0000","1.0000","0.9472","0.8469","1.0000","1.0000",NA,"0.6081","0.9043","0.9502","0.9847","0.9246","1.0000"
"BMC4214","0.4512","1.0000","0.6547","0.9123","0.8938","1.0000","0.9843","0.6003","1.0000","1.0000","1.0000","0.6613","0.8873","0.9105","0.9354","0.9290","1.0000"
"BMS1001","0.6106","0.9045","0.9488","0.1200","0.8938","1.0000","0.6512","0.6128","1.0000","1.0000","1.0000","0.7268","0.8873","0.4263","0.9152","0.4288","1.0000"
"BMS1074","0.7780","1.0000","0.9488","1.0000","1.0000","1.0000","0.9472","0.7670","1.0000","1.0000","1.0000","0.4283","0.9043","0.9502","0.8577","0.7546","1.0000"
"BMS1117","0.7780","1.0000","0.9488","0.8893","0.8938","1.0000","0.9472","1.0000","1.0000","0.7572","1.0000","0.8227","0.4181","0.9835","0.8389","0.9834","1.0000"
